Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample172,5,C-353921,99,34.1,105.02,7/14/10,46.915,-122.9088,5.9,3.2,85,11.8,10.25750885,104.7091031,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,39508,37356,36781,24941
Sample173,5,C-353926,105,38.6,305.2,6/22/10,46.0734,-121.599,6.1,15,44.3,40.7,7.253100349,127.0920274,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,79907,11929,74859,3849
Sample174,5,C-353951,111,1.06,114.79,6/14/10,48.9349,-117.3165,6.6,5.9,67,27.1,6.674919747,60.03381383,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,24255,53754,23729,11894
Sample175,5,C-353960,114,0.62,12.24,7/21/10,48.2593,-121.7082,5.3,5,59.5,35.5,8.924625403,231.7870359,Temperate,Without dry season,Warm summer,Temperate_Without dry season,Temperate_Without dry season_Warm summer,441,497,397,2
Sample176,5,C-353997,105,28,198.21,7/16/10,47.015,-120.7162,7.1,29.9,34.5,35.6,7.708903154,38.84381122,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,109129,40404,104492,21960
Sample177,5,C-354443,100,0.78,19.39,8/12/10,44.1344,-85.0809,5.8,8.5,9,82.5,6.542797547,67.8042639,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,35321,3248,32923,1295
Sample178,5,C-354445,103,45.4,210.05,8/5/10,42.9917,-82.9077,5.3,19.4,38.2,42.4,8.429236497,67.39614167,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,89872,53103,81014,35859
Sample179,5,C-354476,107,0.77,1.21,8/8/10,42.2945,-86.2951,5.5,6,1.9,92.1,9.48130042,75.37560552,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,55010,1015,52148,1
Sample180,5,C-354480,102,50,178.22,8/3/10,42.1042,-84.4093,6.5,10,23.4,66.6,8.924408738,72.94847498,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,168016,137203,141905,51655
Sample181,5,C-354481,101,30.4,137.38,6/28/10,45.9411,-88.0552,6.4,11.7,18.2,70.1,4.917047471,61.66819166,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,103215,24055,88790,11292
Sample182,5,C-354995,105,0.31,39.24,6/9/10,44.5314,-88.8543,6.1,10.3,60,21.6,6.869939191,66.42761958,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,141430,3172,132908,0
Sample183,5,C-355030,101,20.8,126.54,8/29/10,46.3653,-90.6472,4,6.6,54,17,4.92090581,69.37788619,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,58845,5057,55922,1760
Sample184,5,C-355031,110,56,221.81,8/26/10,43.7362,-91.0012,6.4,19.4,28.3,59.9,7.331725367,70.54266936,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,67614,81866,55746,49537
Sample185,5,C-355064,103,53,309.86,8/24/10,42.8983,-88.8791,7,11.5,44.1,49.3,8.390175385,72.51217208,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,63048,75739,50288,45437
Sample186,5,C-355593,100,0,35.72,6/22/10,34.572,-119.258,6.5,27.5,37.5,35,12.60579506,74.68453307,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,62,398,44,7
Sample187,5,C-355604,115,56,175.37,7/5/10,38.453,-122.8256,5.3,20,42.1,37.9,13.93293121,82.1015029,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,63603,74471,48438,51718
Sample188,5,C-355622,99,10.6,278.01,6/7/10,34.371,-114.52,8.2,9,65.2,25.8,22.18950941,11.78786108,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,76055,77899,68839,42111
Sample189,5,C-355649,102,54,386.4,7/14/10,39.3164,-121.5093,7,13.1,70.4,16.5,16.40028137,59.82133908,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,69908,82386,56130,47791
Sample190,5,C-355674,101,4.3,141.37,7/27/10,41.8719,-123.1347,6,15,65.9,19.1,11.48212832,72.99737774,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,108858,18338,99727,9865
Sample191,5,C-355682,99,6.8,95.47,7/22/10,40.475,-120.575,6.7,21.5,41.4,37.1,8.575967053,37.95512229,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,1933,48288,852,20659
Sample192,5,C-355737,102,2.27,250.95,7/3/10,36.7833,-118.639,6,10,66.9,23.1,9.598172653,78.74683339,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,65803,87003,61965,42643
Sample193,5,C-355750,118,0,32.92,6/17/10,36.618,-117.065,8.5,10.5,74.1,15.4,24.30492341,5.571238885,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,144,1157,11,33
Sample194,5,C-355751,99,10.5,134.77,7/27/10,41.8772,-121.7266,7.9,29.4,26.5,44.1,7.974422578,26.22675839,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,4191,101306,3813,54973
Sample195,5,C-355754,99,37.5,141.74,7/12/10,39.129,-120.807,6.1,20,42.1,37.9,13.42106452,125.5333914,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,10205,92904,9468,66764
